species,longitude,latitude
religiosa,-159.3660278,21.9759722
religiosa,-159.3664444,21.976
religiosa,-159.3664722,21.9760556
religiosa,-159.3665833,21.9754722
religiosa,-159.3671111,21.9758889
religiosa,-159.3689167,21.9768056
religiosa,-159.3671667,21.9760556
religiosa,-159.367,21.9762222
religiosa,-159.3666667,21.9755556
religiosa,-159.384475,22.20865
religiosa,-159.3836592,22.21180757
religiosa,-159.38275,22.2100833
religiosa,-159.38275,22.2100556
religiosa,-159.3827778,22.2100556
religiosa,-159.3828333,22.21
religiosa,-159.3828056,22.21
religiosa,-159.3827778,22.2100278
religiosa,-159.3838333,22.2118611
religiosa,-159.3838889,22.2118333
religiosa,-159.3838889,22.2118056
religiosa,-159.3835833,22.2122778
religiosa,-159.3835,22.2113611
religiosa,-159.3823056,22.2116111
religiosa,-159.3827222,22.2100833
religiosa,-159.3826944,22.2101111
religiosa,-159.3826944,22.2101389
religiosa,-159.3826944,22.2101667
religiosa,-159.3826667,22.2101944
religiosa,-159.3826667,22.2102222
religiosa,-159.3826667,22.21025
religiosa,-159.3826389,22.2102778
religiosa,-159.3826389,22.2103611
religiosa,-159.3836944,22.2119444
religiosa,-159.3836944,22.2119167
religiosa,-159.3836667,22.2119167
religiosa,-159.3833611,22.2114444
religiosa,-159.38325,22.2114444
religiosa,-159.3831389,22.2115278
religiosa,-159.3827222,22.2115833
religiosa,-159.3825,22.2115833
religiosa,-159.3813889,22.2118056
religiosa,-159.3836667,22.2110556
religiosa,-159.3828889,22.2099444
religiosa,-159.3837222,22.2118611
religiosa,-159.3835556,22.2118889
religiosa,-159.3838333,22.2118333
religiosa,-159.3838333,22.2118056
religiosa,-159.3838333,22.2117778
religiosa,-159.3838333,22.2117778
religiosa,-159.3838611,22.2118056
religiosa,-159.3839167,22.2118333
religiosa,-159.3838611,22.2118056
religiosa,-159.3838611,22.2118056
religiosa,-159.3838333,22.2119722
religiosa,-159.3838056,22.2119722
religiosa,-159.3839722,22.2119722
religiosa,-159.3839444,22.2105833
religiosa,-159.3836667,22.211
religiosa,-159.3836389,22.2110833
religiosa,-159.3833889,22.2114444
religiosa,-159.3828889,22.2099167
religiosa,-159.3838889,22.2119722
religiosa,-159.3828889,22.2116944
religiosa,-159.3830833,22.2116667
religiosa,-159.509247,21.924507
religiosa,-159.7088056,21.9679722
religiosa,-159.593462,21.907638
religiosa,-159.593548,21.907615
religiosa,-159.594389,21.907899
religiosa,-159.7113611,21.9692222
religiosa,-159.7109444,21.9689722
religiosa,-159.7111704,21.96911447
religiosa,-159.7108611,21.9689444
religiosa,-159.7113096,21.96884489
religiosa,-157.8592222,21.3168333
religiosa,-157.8592222,21.3168611
religiosa,-157.8579722,21.317
religiosa,-157.8555556,21.2980278
religiosa,-157.83275,21.4309167
religiosa,-158.0558333,21.6416111
religiosa,-157.8441944,21.2946389
religiosa,-157.8582778,21.3018056
religiosa,-157.8586944,21.3022222
religiosa,-157.8585,21.3018056
religiosa,-157.8585278,21.3018056
religiosa,-157.8585556,21.3018611
religiosa,-157.8585556,21.3018889
religiosa,-157.8586389,21.302
religiosa,-157.8586111,21.3019722
religiosa,-157.8586111,21.3019444
religiosa,-157.8585833,21.3019444
religiosa,-157.8586667,21.3020556
religiosa,-157.8586944,21.3020556
religiosa,-157.8586667,21.3020278
religiosa,-157.8586667,21.3020278
religiosa,-157.8587222,21.3020833
religiosa,-157.8586944,21.3020833
religiosa,-157.8586944,21.3020833
religiosa,-157.8586944,21.3020833
religiosa,-157.8586667,21.3020556
religiosa,-157.8586944,21.3020833
religiosa,-157.8586944,21.3020556
religiosa,-157.8586667,21.3020556
religiosa,-157.8560278,21.3003056
religiosa,-157.8148056,21.30125
religiosa,-157.8145278,21.3011667
religiosa,-157.8148889,21.3009722
religiosa,-157.8155,21.3010833
religiosa,-157.8153611,21.3006667
religiosa,-157.8153889,21.3008611
religiosa,-157.8149167,21.3006944
religiosa,-157.8148889,21.3006944
religiosa,-157.8148889,21.3006667
religiosa,-157.8149167,21.3006944
religiosa,-157.8149167,21.3006667
religiosa,-157.8148056,21.3006944
religiosa,-157.8147222,21.3009167
religiosa,-157.8142222,21.3009444
religiosa,-157.8142222,21.3009722
religiosa,-157.8141667,21.3009722
religiosa,-157.8143056,21.3012778
religiosa,-157.8148611,21.3019444
religiosa,-157.8160278,21.3015
religiosa,-157.8162222,21.3014444
religiosa,-157.817,21.3014167
religiosa,-157.817,21.3014167
religiosa,-157.8138056,21.2995556
religiosa,-157.8139444,21.3010556
religiosa,-157.81375,21.2995833
religiosa,-157.8504167,21.3209722
religiosa,-157.8443056,21.3169722
religiosa,-157.8446389,21.3170278
religiosa,-157.8448611,21.3169167
religiosa,-157.8449722,21.3169444
religiosa,-157.839,21.30725
religiosa,-157.8016667,21.3172778
religiosa,-157.8323056,21.3065833
religiosa,-157.8555556,21.3170278
religiosa,-157.9724167,21.3944722
religiosa,-157.781771,21.368189
religiosa,-157.781342,21.367864
religiosa,-157.781181,21.367605
religiosa,-157.812344,21.415525
religiosa,-158.0171667,21.3845833
religiosa,-158.0155,21.3863333
religiosa,-158.0155,21.3861667
religiosa,-158.0155,21.3862222
religiosa,-158.0163889,21.3853889
religiosa,-158.0154444,21.3860556
religiosa,-158.0227778,21.4986667
religiosa,-158.0232222,21.4984444
religiosa,-158.0231389,21.4985833
religiosa,-158.0252222,21.4996944
religiosa,-158.0258056,21.4996944
religiosa,-157.83775,21.3383056
religiosa,-157.83775,21.3382222
religiosa,-157.8372778,21.3381111
religiosa,-157.8368889,21.3379722
religiosa,-157.8376667,21.3383611
religiosa,-157.8389722,21.3389167
religiosa,-157.8381944,21.3368889
religiosa,-157.8381667,21.3358056
religiosa,-157.8381111,21.3357222
religiosa,-157.8381667,21.3357778
religiosa,-157.8381389,21.33575
religiosa,-157.8383056,21.3357222
religiosa,-157.8382778,21.3358056
religiosa,-157.8382778,21.3358889
religiosa,-157.8381944,21.3357222
religiosa,-157.8381667,21.3357222
religiosa,-157.8381667,21.3356944
religiosa,-157.8381944,21.33575
religiosa,-157.83825,21.3357222
religiosa,-157.8382778,21.3356944
religiosa,-157.8383056,21.3357222
religiosa,-157.8383056,21.3356667
religiosa,-157.83825,21.3356667
religiosa,-157.8383333,21.3356667
religiosa,-157.8383056,21.3356389
religiosa,-157.8383333,21.3356389
religiosa,-157.8384444,21.3357778
religiosa,-157.8384444,21.33575
religiosa,-157.8383889,21.3356944
religiosa,-157.8383333,21.3356667
religiosa,-157.8383056,21.3356389
religiosa,-157.8383333,21.3356389
religiosa,-157.8383333,21.3356111
religiosa,-157.8383056,21.3355833
religiosa,-157.8382778,21.3355556
religiosa,-157.8383056,21.3355833
religiosa,-157.83825,21.3355278
religiosa,-157.83825,21.3355556
religiosa,-157.83825,21.3355278
religiosa,-157.83825,21.3355278
religiosa,-157.8382778,21.3355278
religiosa,-157.8381944,21.3354722
religiosa,-157.8384167,21.3355833
religiosa,-157.8385,21.3357778
religiosa,-157.8385,21.3358056
religiosa,-157.8383333,21.33575
religiosa,-157.8382778,21.3357222
religiosa,-157.8384722,21.3357778
religiosa,-157.8384722,21.3357778
religiosa,-157.8384444,21.3357222
religiosa,-157.8384722,21.33575
religiosa,-157.8384444,21.33575
religiosa,-157.8384444,21.33575
religiosa,-157.8384167,21.3357222
religiosa,-157.8384167,21.33575
religiosa,-157.8384444,21.3357222
religiosa,-157.8384167,21.3357222
religiosa,-157.8384167,21.3357222
religiosa,-157.8384167,21.3356944
religiosa,-157.8384167,21.3356667
religiosa,-157.8381111,21.3354722
religiosa,-157.8381111,21.3354444
religiosa,-157.8381111,21.3354444
religiosa,-157.8382222,21.3368611
religiosa,-157.8374722,21.3375
religiosa,-157.8481389,21.3121667
religiosa,-157.84825,21.3120556
religiosa,-157.84825,21.3116111
religiosa,-157.8480556,21.3113333
religiosa,-157.8481667,21.3114444
religiosa,-157.8482778,21.3118611
religiosa,-157.8477222,21.3114444
religiosa,-157.8478333,21.3111944
religiosa,-157.8477222,21.3111667
religiosa,-157.8476667,21.3111389
religiosa,-157.8476944,21.3111667
religiosa,-157.8473333,21.3107778
religiosa,-157.8476667,21.3108889
religiosa,-157.8501944,21.311
religiosa,-157.84375,21.3116944
religiosa,-157.8593333,21.3167778
religiosa,-157.8594167,21.3167778
religiosa,-157.8593611,21.3170556
religiosa,-157.85925,21.3171111
religiosa,-157.8594444,21.317
religiosa,-157.8591667,21.3171944
religiosa,-157.8595,21.3168889
religiosa,-157.85925,21.3168611
religiosa,-157.8592778,21.3168611
religiosa,-157.8593056,21.3170833
religiosa,-157.8593056,21.3171111
religiosa,-157.8592778,21.3171389
religiosa,-157.85925,21.3171667
religiosa,-157.8591667,21.3171944
religiosa,-157.8591667,21.3172222
religiosa,-157.8591667,21.3172222
religiosa,-157.8591667,21.3172222
religiosa,-157.8591944,21.31725
religiosa,-157.8591944,21.31725
religiosa,-157.8590556,21.3173056
religiosa,-157.8588611,21.3171944
religiosa,-157.8589722,21.3173889
religiosa,-157.8589444,21.3173889
religiosa,-157.8588889,21.3174167
religiosa,-157.8588889,21.3174444
religiosa,-157.8587222,21.3173056
religiosa,-157.8587222,21.3173056
religiosa,-157.8585,21.3174444
religiosa,-157.8585278,21.3174444
religiosa,-157.8585556,21.3176667
religiosa,-157.8585278,21.3176944
religiosa,-157.8585278,21.3177222
religiosa,-157.8585278,21.3176944
religiosa,-157.8583056,21.3176667
religiosa,-157.8591667,21.3171944
religiosa,-157.8581667,21.3177222
religiosa,-157.8581944,21.3177222
religiosa,-157.8583333,21.3178333
religiosa,-157.8580833,21.3178056
religiosa,-157.85825,21.3179444
religiosa,-157.85825,21.3179444
religiosa,-157.858,21.3178889
religiosa,-157.8580556,21.3178611
religiosa,-157.8580278,21.3178611
religiosa,-157.8579722,21.3179167
religiosa,-157.8581944,21.3179722
religiosa,-157.8581667,21.3179722
religiosa,-157.8581944,21.3179444
religiosa,-157.8581111,21.3180278
religiosa,-157.8581111,21.3180556
religiosa,-157.8581944,21.3181111
religiosa,-157.8579722,21.3179167
religiosa,-157.8578333,21.318
religiosa,-157.8581389,21.3183611
religiosa,-157.8581111,21.3183333
religiosa,-157.8582222,21.3184722
religiosa,-157.8555556,21.3210556
religiosa,-157.8555278,21.3210556
religiosa,-157.8565556,21.3186667
religiosa,-157.8554444,21.32125
religiosa,-157.8617222,21.3144444
religiosa,-157.8613889,21.3146944
religiosa,-157.8612778,21.31475
religiosa,-157.8611111,21.3148611
religiosa,-157.8611111,21.3148611
religiosa,-157.8607222,21.3151111
religiosa,-157.8604722,21.3150556
religiosa,-157.8608333,21.3153611
religiosa,-157.8607222,21.3154167
religiosa,-157.8608611,21.3153333
religiosa,-157.8602778,21.31575
religiosa,-157.86,21.3163333
religiosa,-157.8583611,21.3171111
religiosa,-157.8583889,21.3170833
religiosa,-157.8583611,21.3171389
religiosa,-157.8579444,21.3169722
religiosa,-157.8580556,21.3167778
religiosa,-157.8583333,21.31675
religiosa,-157.8584722,21.3166111
religiosa,-157.8583333,21.3165
religiosa,-157.8583611,21.3165
religiosa,-157.8585833,21.3164444
religiosa,-157.8586111,21.3164444
religiosa,-157.8585,21.3164722
religiosa,-157.8581111,21.31625
religiosa,-157.8580556,21.3165278
religiosa,-157.8580556,21.3165556
religiosa,-157.8580833,21.3165833
religiosa,-157.8580556,21.3165556
religiosa,-157.8581111,21.3166111
religiosa,-157.8581389,21.3166111
religiosa,-157.8581111,21.3166111
religiosa,-157.8581389,21.3166111
religiosa,-157.8581389,21.3166389
religiosa,-157.8581389,21.3166389
religiosa,-157.8581667,21.3166389
religiosa,-157.8577778,21.3147778
religiosa,-157.8579722,21.3163611
religiosa,-157.8597222,21.31625
religiosa,-157.8577778,21.3173333
religiosa,-157.8573056,21.3169167
religiosa,-157.8573333,21.3170278
religiosa,-157.8576389,21.3172222
religiosa,-157.8574167,21.3171111
religiosa,-157.8644444,21.2948056
religiosa,-157.8436667,21.2943333
religiosa,-157.8315,21.4310278
religiosa,-157.8481667,21.3183333
religiosa,-157.8483889,21.3184444
religiosa,-157.84925,21.3174722
religiosa,-157.8538889,21.3143889
religiosa,-157.8544167,21.3095833
religiosa,-157.8559444,21.3033889
religiosa,-157.8558611,21.3033889
religiosa,-157.8558611,21.3034167
religiosa,-157.8620833,21.3145833
religiosa,-157.8614444,21.3149444
religiosa,-157.8599444,21.3154722
religiosa,-157.8597778,21.3161667
religiosa,-157.8522222,21.3195556
religiosa,-157.85225,21.3196389
religiosa,-157.852,21.3198056
religiosa,-157.852,21.31975
religiosa,-157.8515,21.3211667
religiosa,-157.8348333,21.29925
religiosa,-157.837111,21.302071
religiosa,-157.8357778,21.2974167
religiosa,-157.8510278,21.3234167
religiosa,-157.84375,21.3168333
religiosa,-157.8330556,21.30325
religiosa,-157.8329167,21.3031389
religiosa,-157.8188056,21.3033056
religiosa,-157.8186667,21.30325
religiosa,-157.8198889,21.3042778
religiosa,-157.820652,21.302952
religiosa,-157.8205833,21.3035556
religiosa,-157.820864,21.302562
religiosa,-157.8017778,21.3173889
religiosa,-157.8018333,21.3173611
religiosa,-157.8018889,21.3172778
religiosa,-157.8126667,21.3068333
religiosa,-157.813,21.3076944
religiosa,-157.8123056,21.3066667
religiosa,-157.8167222,21.3083056
religiosa,-157.8231944,21.3068889
religiosa,-157.8516944,21.2993611
religiosa,-157.81475,21.2888056
religiosa,-157.8245278,21.3064167
religiosa,-157.8288333,21.3054167
religiosa,-157.813061,21.312601
religiosa,-157.81723,21.30655
religiosa,-157.8459167,21.3276667
religiosa,-157.8453333,21.3278889
religiosa,-157.8506667,21.3162778
religiosa,-157.8514444,21.3177222
religiosa,-157.8470556,21.3171944
religiosa,-157.848247,21.318684
religiosa,-157.8517222,21.3101944
religiosa,-157.8511667,21.3083056
religiosa,-157.85325,21.3094444
religiosa,-157.852028,21.31087
religiosa,-157.849171,21.304558
religiosa,-157.848308,21.306378
religiosa,-157.8444167,21.3040556
religiosa,-157.8600833,21.3039722
religiosa,-157.8579167,21.3014167
religiosa,-157.8577778,21.3015
religiosa,-157.8580833,21.3013333
religiosa,-157.8659167,21.3182222
religiosa,-157.8609167,21.315
religiosa,-157.8608333,21.3157778
religiosa,-157.8606389,21.3151389
religiosa,-157.8608611,21.3158333
religiosa,-157.8608333,21.3143333
religiosa,-157.8598611,21.3156389
religiosa,-157.8597222,21.3154722
religiosa,-157.8597778,21.3156667
religiosa,-157.8597222,21.3166111
religiosa,-157.8596389,21.3164722
religiosa,-157.8596389,21.3165
religiosa,-157.86,21.3169722
religiosa,-157.8599444,21.3166111
religiosa,-157.8601389,21.3170556
religiosa,-157.8596389,21.3173889
religiosa,-157.8596389,21.3165278
religiosa,-157.8588611,21.3180833
religiosa,-157.8589722,21.318
religiosa,-157.8588611,21.3183611
religiosa,-157.8589167,21.31825
religiosa,-157.8589722,21.3182222
religiosa,-157.8586389,21.3178333
religiosa,-157.816662,21.307115
religiosa,-157.8110833,21.3096944
religiosa,-157.8181111,21.2940278
religiosa,-157.8183333,21.2930278
religiosa,-157.8180278,21.2934722
religiosa,-157.8187222,21.3002778
religiosa,-157.8187778,21.3006667
religiosa,-157.8196389,21.2998056
religiosa,-157.8196389,21.2997778
religiosa,-157.8196389,21.2998056
religiosa,-157.8196389,21.2997778
religiosa,-157.8196389,21.2997778
religiosa,-157.8196111,21.2997778
religiosa,-157.8196111,21.2997778
religiosa,-157.8196389,21.2997778
religiosa,-157.8196667,21.2997778
religiosa,-157.8196111,21.2997778
religiosa,-157.8196111,21.2998056
religiosa,-157.8196111,21.2997778
religiosa,-157.8195833,21.2998056
religiosa,-157.8195833,21.2998333
religiosa,-157.8195833,21.2998056
religiosa,-157.8196111,21.2998056
religiosa,-157.8195833,21.2997778
religiosa,-157.8195833,21.2997778
religiosa,-157.8197778,21.2998333
religiosa,-157.8195833,21.2998056
religiosa,-157.8197778,21.2997778
religiosa,-157.8196667,21.2998056
religiosa,-157.8196944,21.2998056
religiosa,-157.8196944,21.2997778
religiosa,-157.8197222,21.2998056
religiosa,-157.8197778,21.2998056
religiosa,-157.8197222,21.2998333
religiosa,-157.8196944,21.2997778
religiosa,-157.81975,21.2998056
religiosa,-157.81975,21.2997778
religiosa,-157.8197222,21.2997778
religiosa,-157.8197778,21.2997222
religiosa,-157.8197222,21.2997778
religiosa,-157.8188056,21.2995278
religiosa,-157.8187778,21.29975
religiosa,-157.8186111,21.2997222
religiosa,-157.8185833,21.2996944
religiosa,-157.8185556,21.29975
religiosa,-157.8177222,21.2985833
religiosa,-157.8176944,21.2985833
religiosa,-157.8175,21.2985556
religiosa,-157.8137778,21.2996111
religiosa,-157.8138056,21.2995556
religiosa,-157.8196111,21.29625
religiosa,-157.8194444,21.29625
religiosa,-157.8193889,21.2962778
religiosa,-157.8191111,21.29625
religiosa,-157.8191667,21.29625
religiosa,-157.8191944,21.29625
religiosa,-157.8192222,21.2962222
religiosa,-157.8191389,21.29625
religiosa,-157.8190278,21.2961389
religiosa,-157.8186667,21.2962222
religiosa,-157.8186944,21.2961667
religiosa,-157.8184444,21.2961944
religiosa,-157.8183611,21.2961944
religiosa,-157.8182778,21.2961944
religiosa,-157.8185556,21.2962222
religiosa,-157.8185,21.2962222
religiosa,-157.8182778,21.2960833
religiosa,-157.8184167,21.2961389
religiosa,-157.8183889,21.2961111
religiosa,-157.8183611,21.2961389
religiosa,-157.8183889,21.2961389
religiosa,-157.8185833,21.2961667
religiosa,-157.8185556,21.2961389
religiosa,-157.8185833,21.2961667
religiosa,-157.8185278,21.2961389
religiosa,-157.8185,21.2960556
religiosa,-157.8184722,21.2960833
religiosa,-157.8185,21.2959722
religiosa,-157.8184722,21.296
religiosa,-157.8184722,21.2960278
religiosa,-157.8184722,21.2961111
religiosa,-157.8184722,21.2960556
religiosa,-157.8184444,21.2961111
religiosa,-157.8185,21.2959722
religiosa,-157.8188333,21.2958056
religiosa,-157.8187778,21.2958056
religiosa,-157.8187778,21.2958056
religiosa,-157.8186944,21.2958056
religiosa,-157.8186944,21.2958056
religiosa,-157.8186667,21.2957778
religiosa,-157.8185833,21.2957778
religiosa,-157.8184722,21.2957778
religiosa,-157.8185278,21.2957778
religiosa,-157.81875,21.2958056
religiosa,-157.8186111,21.2957778
religiosa,-157.8184167,21.29575
religiosa,-157.8183333,21.296
religiosa,-157.8183611,21.2958611
religiosa,-157.8183333,21.2960833
religiosa,-157.8183333,21.2959444
religiosa,-157.8183333,21.2961389
religiosa,-157.8168333,21.29525
religiosa,-157.8169722,21.2960833
religiosa,-157.8173889,21.2962222
religiosa,-157.8175278,21.2960556
religiosa,-157.8176111,21.2960556
religiosa,-157.8176389,21.2960556
religiosa,-157.8178611,21.2961667
religiosa,-157.8143333,21.3006667
religiosa,-157.8143056,21.3011111
religiosa,-157.81775,21.2970556
religiosa,-157.8203333,21.2968611
religiosa,-157.817642,21.297007
religiosa,-157.8216944,21.2967778
religiosa,-157.8215556,21.2966667
religiosa,-157.821,21.29525
religiosa,-157.8212778,21.2963056
religiosa,-157.8193333,21.2961389
religiosa,-157.8192222,21.2961111
religiosa,-157.8196111,21.2961389
religiosa,-157.8196389,21.2960556
religiosa,-157.8196389,21.2960833
religiosa,-157.8196667,21.2960556
religiosa,-157.8195833,21.2958889
religiosa,-157.8196667,21.2960278
religiosa,-157.8190556,21.2960278
religiosa,-157.8189722,21.2959444
religiosa,-157.8189722,21.2959444
religiosa,-157.8190556,21.296
religiosa,-157.8189722,21.2958333
religiosa,-157.8190833,21.2958611
religiosa,-157.8189722,21.2958889
religiosa,-157.8196944,21.2958611
religiosa,-157.8197778,21.2959444
religiosa,-157.81975,21.2958889
religiosa,-157.81975,21.2961111
religiosa,-157.8197778,21.2960833
religiosa,-157.8197778,21.2960278
religiosa,-157.8197778,21.2959722
religiosa,-157.8197778,21.296
religiosa,-157.8177222,21.2969722
religiosa,-157.8158611,21.3015
religiosa,-157.8182222,21.2943333
religiosa,-157.819,21.2933611
religiosa,-157.8181111,21.2940278
religiosa,-157.8183333,21.2930278
religiosa,-157.8180278,21.2934722
religiosa,-156.4782754,20.8901656
religiosa,-158.0558167,21.64168889
religiosa,-157.923549,21.27280309
religiosa,-157.8575283,21.31743
religiosa,-157.837326,21.33749962
religiosa,-157.8268113,21.30545558
religiosa,-157.8026015,21.31810243
religiosa,-157.8584883,21.30023833
religiosa,-157.8591766,21.31753349
religiosa,-157.818755,21.30323833
religiosa,-157.8582467,21.3098
religiosa,-157.8584583,21.30990333
religiosa,-157.8168333,21.30137
religiosa,-157.8108667,21.30676333
religiosa,-157.8179167,21.29666333
religiosa,-157.8383229,21.33548545
religiosa,-155.5504133,19.08601117
religiosa,-156.4372437,20.67469717
religiosa,-157.8197783,21.29613833
religiosa,-157.8197783,21.29611667
religiosa,-157.8641907,21.29463641
religiosa,-157.815645,21.30149667
religiosa,-158.0229598,21.49903217
religiosa,-156.6810617,20.88221167
religiosa,-157.84323,21.298095
religiosa,-157.8179167,21.29614167
religiosa,-157.8190917,21.29638667
religiosa,-157.8187717,21.29966333
religiosa,-157.8187867,21.29960833
religiosa,-157.8198383,21.30642
religiosa,-157.8186033,21.30023
religiosa,-157.814925,21.30108333
religiosa,-159.506745,21.90282833
religiosa,-157.842955,21.30388667
religiosa,-157.818055,21.295695
religiosa,-157.8174283,21.295605
religiosa,-157.8148033,21.30159667
religiosa,-157.8076633,21.41009667
religiosa,-157.96277,21.358875
religiosa,-157.8374786,21.28109741
religiosa,-156.6764059,20.88069249
religiosa,-157.8553917,21.321245
religiosa,-155.8807533,19.41322167
religiosa,-159.3643876,21.97694738
religiosa,-159.7088022,21.96808371
religiosa,-157.8148291,21.30126851
religiosa,-159.3827852,22.20999888
religiosa,-157.8374333,21.28107
religiosa,-157.84227,21.30849167
religiosa,-157.892625,21.34531167
religiosa,-157.859375,21.31675833
religiosa,-157.8370382,21.31030763
religiosa,-157.8384479,21.33750681
religiosa,-157.8187645,21.29630749
religiosa,-157.8144296,21.29168999
religiosa,-157.8183534,21.30321474
religiosa,-157.8327428,21.2822781
religiosa,-157.8185117,21.29301667
religiosa,-157.7973076,21.31608671
religiosa,-157.8172728,21.26160469
religiosa,-157.8144759,21.29147427
religiosa,-157.8142754,21.2934998
religiosa,-157.8322482,21.28281389
religiosa,-155.9702317,19.59404722
religiosa,-157.8123467,21.303555
religiosa,-157.8343213,21.29925042
religiosa,-157.83435,21.29922167
religiosa,-157.8184597,21.29636406
religiosa,-157.862625,21.32360333
religiosa,-157.81842,21.29970333
religiosa,-157.818055,21.29573333
religiosa,-157.8181,21.29619167
religiosa,-157.818691,21.29988674
religiosa,-157.8180814,21.29576934
religiosa,-157.817855,21.294845
religiosa,-157.81813,21.29986333
religiosa,-157.8162717,21.3014611
religiosa,-157.8289089,21.29722909
religiosa,-157.8559918,21.29699945
religiosa,-157.8173604,21.30124545
religiosa,-157.8143078,21.29981723
religiosa,-157.8940583,21.34641167
religiosa,-157.86453,21.31507928
religiosa,-157.8191389,21.29633695
religiosa,-157.8455611,21.315127
religiosa,-157.8144383,21.30118833
religiosa,-157.8313769,21.28288012
religiosa,-157.8368006,21.29582301
religiosa,-157.8150184,21.3025223
religiosa,-157.8132076,21.30258196
religiosa,-157.8141013,21.29945703
religiosa,-157.8182667,21.26236333
religiosa,-157.8502025,21.32553624
religiosa,-157.8588257,21.31707764
religiosa,-157.826325,21.32467833
religiosa,-157.8149717,21.288605
religiosa,-157.83217,21.30652
religiosa,-157.9368896,21.37024879
