type,latitude,longitude,altitude (ft),name,desc
W,21.3357222,-157.8381667,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356944,-157.8381667,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.33575,-157.8381944,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.83825,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356944,-157.8382778,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356667,-157.8383056,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356667,-157.83825,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356667,-157.8383333,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356389,-157.8383056,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356389,-157.8383333,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357778,-157.8384444,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.33575,-157.8384444,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356944,-157.8383889,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356111,-157.8383333,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3355833,-157.8383056,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3355556,-157.8382778,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3355278,-157.83825,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3355556,-157.83825,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3355278,-157.8382778,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3354722,-157.8381944,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3355833,-157.8384167,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357778,-157.8385,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3358056,-157.8385,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.33575,-157.8383333,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.8382778,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357778,-157.8384722,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.8384444,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
