X,Y,description
-157.8216944,21.2967778,
-157.8215556,21.2966667,
-157.821,21.29525,10
-157.8212778,21.2963056,
-157.8193333,21.2961389,
-157.8192222,21.2961111,
-157.8196111,21.2961389,
-157.8196389,21.2960556,
-157.8196389,21.2960833,
-157.8196667,21.2960556,
-157.8195833,21.2958889,
-157.8196667,21.2960278,
-157.8190556,21.2960278,
-157.8189722,21.2959444,
-157.8189722,21.2959444,
-157.8190556,21.296,
-157.8189722,21.2958333,
-157.8190833,21.2958611,
-157.8189722,21.2958889,
-157.8196944,21.2958611,
-157.8197778,21.2959444,
-157.81975,21.2958889,
-157.81975,21.2961111,
-157.8197778,21.2960833,
-157.8197778,21.2960278,
-157.8197778,21.2959722,
-157.8197778,21.296,
-157.8177222,21.2969722,
-157.8158611,21.3015,
-157.8182222,21.2943333,
-157.819,21.2933611,
-157.8181111,21.2940278,
-157.8183333,21.2930278,
-157.8592222,21.316833326168,
-157.8592222,21.316861126168,
-157.8579722,21.317000026168,15
-157.8555556,21.298027826168,
-157.83275,21.430916726168,15
-158.0558333,21.641611126168,
-157.8441944,21.294638926168,5
-157.8504167,21.320972226168,30
-157.8443056,21.316972226168,5
-157.8446389,21.317027826168,
-157.8448611,21.316916726168,
-157.8449722,21.316944426168,
-157.839,21.307250026168,10
-157.8016667,21.317277826168,
-157.8323056,21.306583326168,15
-157.8555556,21.317027826168,10
-157.9724167,21.394472226168,
-157.781771,21.368189026168,
-157.781342,21.367864026168,
-157.781181,21.367605026168,
-157.812344,21.415525026168,
-158.0227778,21.4986667,
-158.0232222,21.4984444,
-158.0231389,21.4985833,
-158.0252222,21.4996944,
-158.0258056,21.4996944,
-157.8582778,21.3018056,25
-157.8586944,21.3022222,
-157.8585,21.3018056,
-157.8585278,21.3018056,
-157.8585556,21.3018611,
-157.8585556,21.3018889,
-157.8586389,21.302,
-157.8586111,21.3019722,
-157.8586111,21.3019444,
-157.8585833,21.3019444,
-157.8586667,21.3020556,
-157.8586944,21.3020556,
-157.8586667,21.3020278,
-157.8586667,21.3020278,
-157.8587222,21.3020833,
-157.8586944,21.3020833,
-157.8586944,21.3020833,
-157.8586944,21.3020833,
-157.8586667,21.3020556,
-157.8586944,21.3020833,
-157.8586944,21.3020556,
-157.8586667,21.3020556,
-157.8560278,21.3003056,5
-157.8281111,21.2800278,15
-157.8286111,21.2836667,
-157.832,21.283,
-157.8326667,21.2824722,
-157.8327778,21.2823611,
-158.0171667,21.3845833,15
-158.0155,21.3863333,
-158.0155,21.3861667,
-158.0155,21.3862222,
-158.0163889,21.3853889,
-158.0154444,21.3860556,
-157.8481389,21.3121667,50
-157.84825,21.3120556,50
-157.84825,21.3116111,50
-157.8480556,21.3113333,50
-157.8481667,21.3114444,50
-157.8482778,21.3118611,50
-157.8477222,21.3114444,50
-157.8478333,21.3111944,
-157.8477222,21.3111667,
-157.8476667,21.3111389,
-157.8476944,21.3111667,
-157.8473333,21.3107778,
-157.8476667,21.3108889,
-157.8501944,21.311,
-157.84375,21.3116944,
-157.83775,21.3383056,30
-157.83775,21.3382222,
-157.8372778,21.3381111,100
-157.8368889,21.3379722,
-157.8376667,21.3383611,
-157.8389722,21.3389167,
-157.8381944,21.3368889,
-157.8381667,21.3358056,
-157.8381111,21.3357222,
-157.8381667,21.3357778,
-157.8381389,21.33575,
-157.8383056,21.3357222,
-157.8382778,21.3358056,
-157.8382778,21.3358889,
