Name,Description,longitude,latitude
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8374722,21.3375
O12,,-157.8481389,21.3121667
O13,,-157.84825,21.3120556
O14,,-157.84825,21.3116111
O50,,-157.8480556,21.3113333
O51,,-157.8481667,21.3114444
O52,,-157.8482778,21.3118611
O53,,-157.8477222,21.3114444
O Offspring,<div>Likely offspring of Punchbowl trees</div>,-157.8478333,21.3111944
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.8477222,21.3111667
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.8476667,21.3111389
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.8476944,21.3111667
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.8473333,21.3107778
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.8476667,21.3108889
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.8501944,21.311
O Offspring,<div>Likely offspring of Punchbowl trees<br></div>,-157.84375,21.3116944
O Offspring,<div>Fruiting green<br></div>,-157.8593333,21.3167778
O Offspring,,-157.8594167,21.3167778
O Offspring,,-157.8593611,21.3170556
O Offspring,,-157.85925,21.3171111
O Offspring,,-157.8594444,21.317
O Offspring,,-157.8591667,21.3171944
O Offspring,,-157.8595,21.3168889
O Offspring,,-157.85925,21.3168611
O Offspring,,-157.8592778,21.3168611
O Offspring,,-157.8593056,21.3170833
O Offspring,,-157.8593056,21.3171111
O Offspring,,-157.8592778,21.3171389
O Offspring,,-157.85925,21.3171667
O Offspring,,-157.8591667,21.3171944
O Offspring,,-157.8591667,21.3172222
O Offspring,,-157.8591667,21.3172222
O Offspring,,-157.8591667,21.3172222
O Offspring,,-157.8591944,21.31725
O Offspring,,-157.8591944,21.31725
O Offspring,,-157.8590556,21.3173056
O Offspring,,-157.8588611,21.3171944
O Offspring,,-157.8589722,21.3173889
O Offspring,,-157.8589444,21.3173889
O Offspring,,-157.8588889,21.3174167
O Offspring,,-157.8588889,21.3174444
O Offspring,,-157.8587222,21.3173056
O Offspring,,-157.8587222,21.3173056
O Offspring,,-157.8585,21.3174444
O Offspring,,-157.8585278,21.3174444
O Offspring,,-157.8585556,21.3176667
O Offspring,,-157.8585278,21.3176944
O Offspring,,-157.8585278,21.3177222
O Offspring,,-157.8585278,21.3176944
O Offspring,,-157.8583056,21.3176667
O Offspring,<div>Has green fruit<br></div>,-157.8591667,21.3171944
O Offspring,,-157.8581667,21.3177222
O Offspring,,-157.8581944,21.3177222
O Offspring,,-157.8583333,21.3178333
O Offspring,,-157.8580833,21.3178056
O Offspring,,-157.85825,21.3179444
O Offspring,,-157.85825,21.3179444
O Offspring,,-157.858,21.3178889
O Offspring,,-157.8580556,21.3178611
O Offspring,,-157.8580278,21.3178611
O Offspring,,-157.8579722,21.3179167
O Offspring,,-157.8581944,21.3179722
O Offspring,,-157.8581667,21.3179722
O Offspring,,-157.8581944,21.3179444
O Offspring,,-157.8581111,21.3180278
O Offspring,,-157.8581111,21.3180556
O Offspring,,-157.8581944,21.3181111
O Offspring,,-157.8579722,21.3179167
O Offspring,,-157.8578333,21.318
O Offspring,,-157.8581389,21.3183611
O Offspring,,-157.8581111,21.3183333
O Offspring,,-157.8582222,21.3184722
O Offspring,<div>older<br></div>,-157.8555556,21.3210556
O Offspring,<div>older<br></div>,-157.8555278,21.3210556
O Offspring,<div>Older on top of bathroom<br></div>,-157.8565556,21.3186667
O Offspring,,-157.8554444,21.32125
O Offspring,,-157.8617222,21.3144444
O Offspring,,-157.8613889,21.3146944
O Offspring,<div>Less than a year<br></div>,-157.8612778,21.31475
O Offspring,,-157.8611111,21.3148611
O Offspring,,-157.8611111,21.3148611
O Offspring,,-157.8607222,21.3151111
O Offspring,,-157.8604722,21.3150556
O Offspring,,-157.8608333,21.3153611
O Offspring,,-157.8607222,21.3154167
O Offspring,,-157.8608611,21.3153333
O Offspring,,-157.8602778,21.31575
O Offspring,<div>Much older<br></div>,-157.86,21.3163333
O Offspring,,-157.8583611,21.3171111
O Offspring,,-157.8583889,21.3170833
O Offspring,,-157.8583611,21.3171389
O15,"<div>Old, fruiting Foster Tree</div>",-157.8579444,21.3169722
O Offspring,,-157.8580556,21.3167778
O Offspring,,-157.8583333,21.31675
O Offspring,,-157.8584722,21.3166111
O Offspring,,-157.8583333,21.3165
O Offspring,,-157.8583611,21.3165
O Offspring,,-157.8585833,21.3164444
O Offspring,,-157.8586111,21.3164444
O Offspring,,-157.8585,21.3164722
O Offspring,,-157.8581111,21.31625
O Offspring,,-157.8580556,21.3165278
O Offspring,,-157.8580556,21.3165556
O Offspring,,-157.8580833,21.3165833
